Thu Mar 10 12:10:35 2022    output.dat

         1075 function calls (1027 primitive calls) in 0.004 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      342    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       80    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
     42/2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:751(recurser)
       42    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:946(<genexpr>)
       42    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:951(<genexpr>)
       42    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:955(<genexpr>)
       42    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:956(<genexpr>)
       40    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:701(_extendLine)
       40    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:715(_extendLine_pretty)
       40    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:980(__call__)
       40    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       40    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       10    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        8    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        8    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\lib\stride_tricks.py:540(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        6    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      5/1    0.000    0.000    0.000    0.000 C:\Users\mly509\AppData\Local\Programs\Python\Python39\lib\abc.py:121(__subclasscheck__)
      5/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        4    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\multiarray.py:883(bincount)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(bincount)
        4    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\numerictypes.py:284(issubclass_)
        4    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
        4    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        4    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
        4    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\_ufunc_config.py:131(geterr)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        4    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\AppData\Local\Programs\Python\Python39\lib\abc.py:117(__instancecheck__)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\numerictypes.py:358(issubdtype)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\numeric.py:1858(isscalar)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\fromnumeric.py:2633(_amax_dispatcher)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\fromnumeric.py:2638(amax)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\fromnumeric.py:2758(_amin_dispatcher)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\fromnumeric.py:2763(amin)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\_methods.py:38(_amax)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\_methods.py:42(_amin)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amax)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amin)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\_ufunc_config.py:425(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\_ufunc_config.py:429(__enter__)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\_ufunc_config.py:434(__exit__)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:375(<lambda>)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:367(_get_formatdict)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:416(_get_format_function)
        2    0.000    0.000    0.001    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:468(wrapper)
        2    0.000    0.000    0.001    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:485(_array2string)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:66(<dictcomp>)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:61(_make_options_dict)
        2    0.000    0.000    0.001    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:523(array2string)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:742(_formatArray)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:860(_none_or_positive_arg)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:869(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:896(fillFormat)
        2    0.000    0.000    0.001    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\core\arrayprint.py:1534(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\lib\stride_tricks.py:414(_broadcast_shape)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\lib\stride_tricks.py:474(_broadcast_arrays_dispatcher)
        2    0.000    0.000    0.000    0.000 C:\Users\mly509\gitRepo1\Nuclear-Fusion\.venv\lib\site-packages\numpy\lib\stride_tricks.py:536(<listcomp>)
